Name,Building,Type,address,Location,Google map link,Phone number,Day of the week,Open/Close,Start time,End time,Dine-in,Takeout,Delivery,Rating,Reviews,Menu ( photo),Menu (list),Number of items,Name of Food,Price,Inside,Website
,,,,,,,,,,,,,,,,,,,Roast Beef Sub Artisan Box Lunch,15.29,"Roast beef sub, american cheese, lettuce, tomato, onion, Fruit cup",
,,,,,,,,,,,,,,,,,,,Turkey Bacon Ranch on Wheat Artisan Box Lunch,14.99,"Turkey bacon ranch on wheat with pepper jack and ranch dressing, Fruit cup",
,,,,,,,,,,,,,,,,,Boxed Salads,6,Turkey Avocado Cobb Salad,14.59,"Turkey avocado cobb salad, Artisan crackers, Fresh baked cookies",
,,,,,,,,,,,,,,,,,,,Blackened Chicken Caesar Salad,14.59,"Blackened chicken caesar salad, Artisan crackers, Fresh baked cookies",
,,,,,,,,,,,,,,,,,,,Traditional Chef`s Salad,14.59,"Traditional chef`s salad, Artisan crackers, Fresh baked cookies",
,,,,,,,,,,,,,,,,,,,Greek Salad with Grilled Chicken,14.59,"Greek salad with grilled chicken, Artisan crackers, Fresh baked cookies, ",
,,,,,,,,,,,,,,,,,,,California Salmon Salad,17.29,"California salmon salad, Artisan crackers, Fresh baked cookies",
,,,,,,,,,,,,,,,,,,,Mediterranean Grain Salad,13.19,"Mediterranean grain salad, Artisan crackers, Fresh baked cookies",
,,,,,,,,,,,,,,,,,Theme Buffets,9,Little Italy,18.89,"Caesar salad, Fresh baked cookies, Fresh baked garlic bread",
,,,,,,,,,,,,,,,,,,,Taste of the South,19.99,"Classic carolina pulled pork with slider rolls, Buttermilk fried chicken, Macaroni and cheese, BBQ baked beans, Lime cilantro cabbage cole slaw, Cheddar jalapeño cornbread, Strawberry shortcake",
,,,,,,,,,,,,,,,,,,,Home-Style Spread,25.19,"Herb brined turkey breast, sage gravy, Herb and panko crusted salmon, Garlic roasted red bliss potatoes, Roast brussels sprouts, Tossed garden salad, Fudge brownie",
,,,,,,,,,,,,,,,,,,,Picnic Buffet,18.89,"Lettuce, Tomatoes, Pickles, Onions, Condiments, Fresh baked cookies, Brownies",
,,,,,,,,,,,,,,,,,,,Taste of the Mediterranean,23.19,"Chermoula spiced chicken skewers with tzatziki sauce, Kafta meatballs on tabbouleh with red chili tomato sauce, Mini falafel with tahini sauce, Lentil hummus with grilled pita chips, Mezze grilled and marinated vegetables with hummus, Marinated olives",
,,,,,,,,,,,,,,,,,,,Another Taste of the Mediterranean,22.09,"Blackened salmon with lemon and parsley, Za`tar roast chicken breast, Whole wheat penne with broccoli, lemon, and garlic, Broccoli rabe with red chili flake and roast garlic, Chick pea and tomato salad",
,,,,,,,,,,,,,,,,,,,Taco House,21.09,"Mini al pastor tacos with onion and cilantro, Mini carne asada with onion and cilantro, Mini grilled chicken flautas ancho chili crema, De-constructed posole salad with chili lime vinaigrette, Crab avocado shooter with diced jicama and chili lime tortilla, Wild mushroom queso fundido with fresh corn tortillas, Mini churro chocolate dipping sauce",
